id,term,normalized,topic,keywords,subfields,field,domain,openalex_id,is_official_openalex_record,official_sync_required,priority,active,source,source_url,kind
oaseed_eae8a47231b921c2,Analysis of Cardiac and Respiratory Sounds,analysis of cardiac and respiratory sounds,Analysis of Cardiac and Respiratory Sounds,heart sound analysis | respiratory sound analysis,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,,False,True,100,True,Curated OpenAlex-compatible eSupraLife seed,https://openalex.org/,openalex_topic_seed
oaseed_5e967c0c33ba18ba,Artificial Intelligence in Healthcare,artificial intelligence in healthcare,Artificial Intelligence in Healthcare,AI in healthcare | healthcare AI,Health Informatics,Medicine,Health Sciences,,False,True,100,True,Curated OpenAlex-compatible eSupraLife seed,https://openalex.org/,openalex_topic_seed
oaseed_4d327a956c54e7f2,Artificial Intelligence in Medicine,artificial intelligence in medicine,Artificial Intelligence in Medicine,AI in medicine | medical AI | clinical AI,Health Informatics,Medicine,Health Sciences,,False,True,100,True,Curated OpenAlex-compatible eSupraLife seed,https://openalex.org/,openalex_topic_seed
oaseed_f7b4726f701cf2c5,Biomedical Engineering,biomedical engineering,Biomedical Engineering,medical engineering,Biomedical Engineering,Engineering,Physical Sciences,,False,True,100,True,Curated OpenAlex-compatible eSupraLife seed,https://openalex.org/,openalex_topic_seed
oaseed_fb2570689c47f565,Biostatistics,biostatistics,Biostatistics,medical statistics | health statistics,Public health medicine | Statistics and Probability,Medicine,Health Sciences,,False,True,100,True,eSupraLife research-topic projection; OpenAlex enrichment target,https://openalex.org/,openalex_topic_seed
oaseed_d1e4d90ccdb3d02a,Cell Image Analysis Techniques,cell image analysis techniques,Cell Image Analysis Techniques,cell image analysis,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,False,True,100,True,Curated OpenAlex-compatible eSupraLife seed,https://openalex.org/,openalex_topic_seed
oaseed_78b7c2f3b7a3dddb,Clinical Decision Support Systems,clinical decision support systems,Clinical Decision Support Systems,CDSS | clinical decision support,Health Informatics,Medicine,Health Sciences,,False,True,100,True,Curated OpenAlex-compatible eSupraLife seed,https://openalex.org/,openalex_topic_seed
oaseed_f9469b7f8a50fe88,Clinical Trials,clinical trials,Clinical Trials,clinical trial research | randomized controlled trials | RCT,Medicine,Medicine,Health Sciences,,False,True,100,True,Curated OpenAlex-compatible eSupraLife seed,https://openalex.org/,openalex_topic_seed
oaseed_268c59828684b553,Digital Health,digital health,Digital Health,digital medicine | digital healthcare,Health Informatics,Medicine,Health Sciences,,False,True,100,True,Curated OpenAlex-compatible eSupraLife seed,https://openalex.org/,openalex_topic_seed
oaseed_98701809a8a02135,Electronic Health Records,electronic health records,Electronic Health Records,EHR | electronic medical records | EMR,Health Informatics,Medicine,Health Sciences,,False,True,100,True,Curated OpenAlex-compatible eSupraLife seed,https://openalex.org/,openalex_topic_seed
oaseed_83ca029e9d67a8fb,Epidemiology,epidemiology,Epidemiology,population health research,Public health medicine | Epidemiology,Medicine,Health Sciences,,False,True,100,True,eSupraLife research-topic projection; OpenAlex enrichment target,https://openalex.org/,openalex_topic_seed
